MuncipalityID;Name;CountyID;NumberOfVotes;VotesForKO;VotesForLEW;VotesForTD;VotesForKONF;VotesForPIS;VotesForBS
22402;gm. Ciepłowody;22400;683;167;19;64;89;337;3
22403;gm. Kamieniec Ząbkowicki;22400;2069;563;156;255;239;821;26
22404;gm. Stoszowice;22400;1384;321;58;283;145;565;12
22405;gm. Ząbkowice Śląskie;22400;6105;2098;314;699;626;2317;40
22406;gm. Ziębice;22400;4130;1213;195;363;416;1874;59
22407;gm. Złoty Stok;22400;1165;400;60;90;105;489;13
22501;m. Zawidów;22500;1094;401;77;46;129;426;13
22502;m. Zgorzelec;22500;9126;3775;882;392;961;2992;101
22503;gm. Bogatynia;22500;5733;1825;500;242;738;2289;116
22504;gm. Pieńsk;22500;1869;663;138;83;295;665;19
22505;gm. Sulików;22500;1559;387;88;89;235;729;25
22506;gm. Węgliniec;22500;1843;607;99;107;220;773;35
22507;gm. Zgorzelec;22500;2351;771;163;128;352;887;41
22601;m. Wojcieszów;22600;857;348;78;47;98;272;13
22602;m. Złotoryja;22600;4341;1811;479;147;482;1368;45
22603;gm. Pielgrzymka;22600;1025;321;78;60;153;397;11
22604;gm. Świerzawa;22600;1742;580;139;98;218;679;25
22605;gm. Zagrodno;22600;1325;269;63;65;203;711;12
22606;gm. Złotoryja;22600;1851;591;135;96;250;749;24
26101;Jelenia Góra;26100;23873;11533;2482;1055;2249;6283;218
26201;Legnica;26200;27216;11294;2256;1126;3280;8923;289
26401;Wrocław;26400;247068;112989;35381;12279;27003;55938;3008
26501;Wałbrzych;26500;28605;15276;2198;691;2321;7823;228
40101;m. Aleksandrów Kujawski;40100;3148;1462;134;199;330;962;45
40102;m. Ciechocinek;40100;5348;2685;206;192;344;1846;48
40103;m. Nieszawa;40100;533;188;25;60;64;187;6
40104;gm. Aleksandrów Kujawski;40100;2698;921;73;201;432;1014;43
40105;gm. Bądkowo;40100;1044;173;62;111;166;514;10
40106;gm. Koneck;40100;663;135;21;63;104;327;8
40107;gm. Raciążek;40100;798;278;23;50;113;315;15
40108;gm. Waganiec;40100;1111;239;47;106;140;561;11
40109;gm. Zakrzewo;40100;737;183;34;84;122;298;10
40201;m. Brodnica;40200;7506;3146;260;1093;705;2221;49
40202;gm. Bobrowo;40200;1408;270;28;299;176;617;6
40203;gm. Brodnica;40200;2016;644;62;404;238;646;15
40204;gm. Brzozie;40200;970;181;11;129;123;514;7
40205;gm. Górzno;40200;861;141;23;172;95;423;5
40206;gm. Bartniczka;40200;1111;158;16;220;124;579;5
40207;gm. Jabłonowo Pomorskie;40200;1946;266;21;580;265;799;10
40208;gm. Osiek;40200;685;106;18;122;95;337;2
40209;gm. Świedziebnia;40200;1093;133;16;312;138;481;8
40210;gm. Zbiczno;40200;1289;336;23;314;126;466;18
40301;gm. Białe Błota;40300;8045;4306;340;628;894;1772;68
40302;gm. Dąbrowa Chełmińska;40300;2261;937;94;242;282;672;21
40303;gm. Dobrcz;40300;3542;1574;96;276;498;1041;28
40304;gm. Koronowo;40300;6054;2743;215;382;691;1907;72
40305;gm. Nowa Wieś Wielka;40300;2861;1436;115;189;358;725;24
40306;gm. Osielsko;40300;6436;3831;268;515;639;1112;51
40307;gm. Sicienko;40300;2963;1350;82;225;391;849;48
40308;gm. Solec Kujawski;40300;4271;2208;182;295;428;1096;38
40401;m. Chełmno;40400;4791;2426;186;326;386;1378;63
40402;gm. Chełmno;40400;1188;419;25;112;184;427;15
40403;gm. Kijewo Królewskie;40400;1059;322;43;88;170;405;22
40404;gm. Lisewo;40400;1120;266;37;159;146;478;16
40405;gm. Papowo Biskupie;40400;789;212;22;82;123;329;8
40406;gm. Stolno;40400;1186;363;36;103;195;471;13
40407;gm. Unisław;40400;1589;582;48;109;150;667;22
40501;m. Golub-Dobrzyń;40500;2769;1036;112;267;247;1074;24
40502;gm. Ciechocin;40500;943;206;37;75;133;482;6
40503;gm. Golub-Dobrzyń;40500;2060;521;48;315;273;870;22
40504;gm. Kowalewo Pomorskie;40500;2570;784;64;307;406;961;33
40505;gm. Radomin;40500;877;116;17;106;161;470;2
40506;gm. Zbójno;40500;781;153;26;84;127;372;7
40601;gm. Grudziądz;40600;3272;1232;142;399;415;1021;46
40602;gm. Gruta;40600;1306;327;38;188;151;583;9
40603;gm. Łasin;40600;1544;353;48;192;202;723;18
40604;gm. Radzyń Chełmiński;40600;913;182;17;168;161;372;8
40605;gm. Rogóźno;40600;860;211;27;96;131;374;9
40606;gm. Świecie nad Osą;40600;762;95;11;144;95;406;7
40701;m. Inowrocław;40700;20124;11114;974;996;1506;5248;202
40702;gm. Dąbrowa Biskupia;40700;967;282;33;70;115;452;11
40703;gm. Gniewkowo;40700;3265;1338;97;177;480;1121;32
40704;gm. Inowrocław;40700;2991;1218;101;217;355;1004;80
40705;gm. Janikowo;40700;3056;1247;100;242;324;1105;29
40706;gm. Kruszwica;40700;4301;1526;125;536;444;1649;11
40707;gm. Pakość;40700;2147;908;40;152;234;774;26
40708;gm. Rojewo;40700;973;270;22;85;136;435;14
40709;gm. Złotniki Kujawskie;40700;1994;764;64;134;261;741;15
40801;m. Lipno;40800;3246;1284;127;464;287;1052;22
40802;gm. Bobrowniki;40800;685;138;28;169;54;287;6
40803;gm. Chrostkowo;40800;582;59;11;151;84;273;1
40804;gm. Dobrzyń nad Wisłą;40800;1545;240;70;242;189;783;8
40805;gm. Kikół;40800;1412;265;22;312;155;634;10
40806;gm. Lipno;40800;2226;394;66;588;258;895;14
40807;gm. Skępe;40800;1712;579;57;209;188;652;15
40808;gm. Tłuchowo;40800;1006;142;24;191;143;496;7
40809;gm. Wielgie;40800;1364;282;81;333;141;506;11
40901;gm. Dąbrowa;40900;933;272;52;100;118;374;12
40902;gm. Jeziora Wielkie;40900;1026;218;38;224;121;418;4
40903;gm. Mogilno;40900;6057;2348;456;485;693;1983;63
40904;gm. Strzelno;40900;2589;942;66;229;292;1026;25
41001;gm. Kcynia;41000;2710;938;102;200;384;1040;32
41002;gm. Mrocza;41000;1952;707;65;134;238;767;26
41003;gm. Nakło nad Notecią;41000;8516;4039;263;568;856;2665;64
41004;gm. Sadki;41000;1531;539;31;104;197;638;17
41005;gm. Szubin;41000;6460;3045;239;407;740;1926;71
41101;m. Radziejów;41100;1480;626;62;102;145;535;7
41102;gm. Bytoń;41100;733;150;15;47;92;420;4
41103;gm. Dobre;41100;1016;252;25;99;117;502;12
