CountyID;Name;VoievodshipID;SENAT;SEJM;SEJMIK;EUROPARLAMENT
241600;zawierciański;24;76;32;2407;11
241700;żywiecki;24;79;27;2401;11
246100;Bielsko-Biała;24;78;27;2401;11
246200;Bytom;24;71;29;2404;11
246300;Chorzów;24;74;31;2405;11
246400;Częstochowa;24;69;28;2406;11
246500;Dąbrowa Górnicza;24;76;32;2407;11
246600;Gliwice;24;70;29;2404;11
246700;Jastrzębie-Zdrój;24;72;30;2403;11
246800;Jaworzno;24;77;32;2407;11
246900;Katowice;24;80;31;2402;11
247000;Mysłowice;24;75;31;2402;11
247100;Piekary Śląskie;24;74;31;2405;11
247200;Ruda Śląska;24;74;31;2405;11
247300;Rybnik;24;73;30;2403;11
247400;Siemianowice Śląskie;24;74;31;2405;11
247500;Sosnowiec;24;77;32;2407;11
247600;Świętochłowice;24;74;31;2405;11
247700;Tychy;24;75;31;2402;11
247800;Zabrze;24;71;29;2405;11
247900;Żory;24;72;30;2403;11
260100;buski;26;81;33;2604;10
260200;jędrzejowski;26;81;33;2604;10
260300;kazimierski;26;81;33;2604;10
260400;kielecki;26;83;33;2603;10
260500;konecki;26;81;33;2602;10
260600;opatowski;26;82;33;2601;10
260700;ostrowiecki;26;82;33;2601;10
260800;pińczowski;26;81;33;2604;10
260900;sandomierski;26;82;33;2601;10
261000;skarżyski;26;82;33;2602;10
261100;starachowicki;26;82;33;2602;10
261200;staszowski;26;81;33;2601;10
261300;włoszczowski;26;81;33;2604;10
266100;Kielce;26;83;33;2603;10
280100;bartoszycki;28;84;34;2803;3
280200;braniewski;28;84;34;2803;3
280300;działdowski;28;85;34;2802;3
280400;elbląski;28;84;34;2803;3
280500;ełcki;28;87;34;2804;3
280600;giżycki;28;87;35;2805;3
280700;iławski;28;85;34;2802;3
280800;kętrzyński;28;87;35;2804;3
280900;lidzbarski;28;84;34;2803;3
281000;mrągowski;28;87;35;2805;3
281100;nidzicki;28;86;35;2805;3
281200;nowomiejski;28;85;34;2802;3
281300;olecki;28;87;35;2804;3
281400;olsztyński;28;86;35;2801;3
281500;ostródzki;28;85;34;2802;3
281600;piski;28;87;35;2805;3
281700;szczycieński;28;86;35;2805;3
281800;gołdapski;28;87;35;2804;3
281900;węgorzewski;28;87;35;2804;3
286100;Elbląg;28;84;34;2803;3
286200;Olsztyn;28;86;35;2801;3
300100;chodzieski;30;88;38;3002;7
300200;czarnkowsko-trzcianecki;30;88;38;3002;7
300300;gnieźnieński;30;92;37;3003;7
300400;gostyński;30;94;36;3006;7
300500;grodziski;30;89;38;3006;7
300600;jarociński;30;96;36;3005;7
300700;kaliski;30;96;36;3005;7
300800;kępiński;30;95;36;3005;7
300900;kolski;30;93;37;3004;7
301000;koniński;30;93;37;3004;7
301100;kościański;30;94;36;3006;7
301200;krotoszyński;30;95;36;3006;7
301300;leszczyński;30;94;36;3006;7
301400;międzychodzki;30;89;38;3002;7
301500;nowotomyski;30;89;38;3006;7
301600;obornicki;30;89;38;3002;7
301700;ostrowski;30;95;36;3005;7
301800;ostrzeszowski;30;95;36;3005;7
301900;pilski;30;88;38;3002;7
302000;pleszewski;30;96;36;3005;7
302100;poznański;30;90;39;3003;7
302200;rawicki;30;94;36;3006;7
302300;słupecki;30;92;37;3004;7
302400;szamotulski;30;89;38;3002;7
302500;średzki;30;92;37;3003;7
302600;śremski;30;92;37;3003;7
302700;turecki;30;93;37;3004;7
302800;wągrowiecki;30;88;38;3002;7
302900;wolsztyński;30;89;38;3006;7
303000;wrzesiński;30;92;37;3003;7
303100;złotowski;30;88;38;3002;7
306100;Kalisz;30;96;36;3005;7
306200;Konin;30;93;37;3004;7
306300;Leszno;30;94;36;3006;7
306400;Poznań;30;91;39;3001;7
320100;białogardzki;32;99;40;3204;13
320200;choszczeński;32;99;40;3203;13
320300;drawski;32;99;40;3203;13
320400;goleniowski;32;98;41;3202;13
320500;gryficki;32;98;41;3202;13
320600;gryfiński;32;98;41;3205;13
320700;kamieński;32;98;41;3202;13
320800;kołobrzeski;32;99;40;3203;13
320900;koszaliński;32;100;40;3204;13
321000;myśliborski;32;98;41;3205;13
321100;policki;32;97;41;3201;13
321200;pyrzycki;32;98;41;3205;13
321300;sławieński;32;100;40;3204;13
321400;stargardzki;32;98;41;3205;13
321500;szczecinecki;32;100;40;3204;13
321600;świdwiński;32;99;40;3203;13
321700;wałecki;32;99;40;3203;13
321800;łobeski;32;98;41;3202;13
326100;Koszalin;32;100;40;3204;13
326200;Szczecin;32;97;41;3201;13
326300;Świnoujście;32;98;41;3202;13
